operation,microseconds,milliseconds
client_write_local,13,0
client_write_end_to_end,192,0
client_write_local,6,0
client_write_end_to_end,107,0
client_write_local,6,0
client_write_end_to_end,96,0
client_write_local,5,0
client_write_end_to_end,100,0
client_write_local,5,0
client_write_end_to_end,95,0
client_write_local,5,0
client_write_end_to_end,83,0
client_write_local,5,0
client_write_end_to_end,78,0
client_write_local,5,0
client_write_end_to_end,78,0
client_write_local,5,0
client_write_end_to_end,76,0
client_write_local,5,0
client_write_end_to_end,79,0
client_write_local,5,0
client_write_end_to_end,78,0
client_write_local,5,0
client_write_end_to_end,77,0
client_write_local,6,0
client_write_end_to_end,78,0
client_write_local,5,0
client_write_end_to_end,76,0
client_write_local,5,0
client_write_end_to_end,87,0
client_write_local,5,0
client_write_end_to_end,79,0
client_write_local,5,0
client_write_end_to_end,77,0
client_write_local,5,0
client_write_end_to_end,74,0
client_write_local,5,0
client_write_end_to_end,83,0
client_write_local,5,0
client_write_end_to_end,74,0
client_write_local,5,0
client_write_end_to_end,79,0
client_write_local,5,0
client_write_end_to_end,75,0
client_write_local,5,0
client_write_end_to_end,74,0
client_write_local,5,0
client_write_end_to_end,74,0
client_write_local,5,0
client_write_end_to_end,76,0
client_write_local,5,0
client_write_end_to_end,75,0
client_write_local,5,0
client_write_end_to_end,76,0
client_write_local,5,0
client_write_end_to_end,74,0
client_write_local,5,0
client_write_end_to_end,75,0
client_write_local,5,0
client_write_end_to_end,75,0
client_write_local,5,0
client_write_end_to_end,80,0
client_write_local,4,0
client_write_end_to_end,75,0
client_read_get_prf_keys,2396,2
client_read_read,500,0
client_read_get_prf_keys,376,0
client_read_read,472,0
client_read_get_prf_keys,349,0
client_read_read,452,0
client_read_get_prf_keys,320,0
client_read_read,453,0
client_read_get_prf_keys,310,0
client_read_read,435,0
client_read_get_prf_keys,294,0
client_read_read,445,0
client_read_get_prf_keys,296,0
client_read_read,433,0
client_read_get_prf_keys,309,0
client_read_read,413,0
client_read_get_prf_keys,297,0
client_read_read,431,0
client_read_get_prf_keys,286,0
client_read_read,404,0
client_read_get_prf_keys,286,0
client_read_read,401,0
client_read_get_prf_keys,285,0
client_read_read,403,0
client_read_get_prf_keys,288,0
client_read_read,432,0
client_read_get_prf_keys,290,0
client_read_read,427,0
client_read_get_prf_keys,288,0
client_read_read,419,0
client_read_get_prf_keys,286,0
client_read_read,418,0
client_read_get_prf_keys,285,0
client_read_read,417,0
client_read_get_prf_keys,287,0
client_read_read,442,0
client_read_get_prf_keys,302,0
client_read_read,387,0
client_read_get_prf_keys,277,0
client_read_read,417,0
client_read_get_prf_keys,283,0
client_read_read,421,0
client_read_get_prf_keys,281,0
client_read_read,421,0
client_read_get_prf_keys,296,0
client_read_read,401,0
client_read_get_prf_keys,286,0
client_read_read,413,0
client_read_get_prf_keys,291,0
client_read_read,417,0
client_read_get_prf_keys,284,0
client_read_read,382,0
client_read_get_prf_keys,278,0
client_read_read,401,0
client_read_get_prf_keys,283,0
client_read_read,411,0
client_read_get_prf_keys,289,0
client_read_read,414,0
client_read_get_prf_keys,286,0
client_read_read,377,0
client_read_get_prf_keys,292,0
client_read_read,406,0
client_read_get_prf_keys,320,0
client_read_read,395,0
client_write_local,13,0
client_write_end_to_end,198,0
client_write_local,6,0
client_write_end_to_end,121,0
client_write_local,5,0
client_write_end_to_end,103,0
client_write_local,6,0
client_write_end_to_end,98,0
client_write_local,5,0
client_write_end_to_end,93,0
client_write_local,5,0
client_write_end_to_end,85,0
