operation,microseconds,milliseconds
server1_batch_write_queue_old_buckets,4262,4
server1_batch_write_process_queued_buckets,1415,1
server1_batch_write_metadata_overwrite,1868,1
server1_batch_write_local,7812,7
server1_batch_write_end_to_end,20490,20
server1_batch_write_write_to_server2,12685,12
server1_batch_init_end_to_end,13681,13
server1_batch_init_local,3227,3
server1_batch_write_queue_old_buckets,3786,3
server1_batch_write_process_queued_buckets,1255,1
server1_batch_write_metadata_overwrite,1845,1
server1_batch_write_local,7341,7
server1_batch_write_end_to_end,21144,21
server1_batch_write_write_to_server2,13811,13
server1_batch_write_queue_old_buckets,3759,3
server1_batch_write_process_queued_buckets,968,0
server1_batch_write_metadata_overwrite,2124,2
server1_batch_write_local,7157,7
server1_batch_write_end_to_end,19247,19
server1_batch_write_write_to_server2,12100,12
server1_batch_init_end_to_end,11398,11
server1_batch_init_local,2429,2
server1_batch_write_queue_old_buckets,5529,5
server1_batch_write_process_queued_buckets,929,0
server1_batch_write_metadata_overwrite,2977,2
server1_batch_write_local,9801,9
server1_batch_write_end_to_end,23039,23
server1_batch_write_write_to_server2,13248,13
server1_batch_write_queue_old_buckets,3333,3
server1_batch_write_process_queued_buckets,974,0
server1_batch_write_metadata_overwrite,2158,2
server1_batch_write_local,6790,6
server1_batch_write_end_to_end,19964,19
server1_batch_write_write_to_server2,13185,13
server1_batch_init_end_to_end,14896,14
server1_batch_init_local,2631,2
server1_batch_write_queue_old_buckets,3526,3
server1_batch_write_process_queued_buckets,982,0
server1_batch_write_metadata_overwrite,2186,2
server1_batch_write_local,7183,7
server1_batch_write_end_to_end,19453,19
server1_batch_write_write_to_server2,12280,12
